Institution,Out of Range TOEFL,Fringe TOEFL Range Min,Fringe TOEFL Range Max,High Risk TOEFL Range Min,High Risk TOEFL Range Max,Medium Risk TOEFL Range Min,Medium Risk TOEFL Range Max,Low Risk TOEFL Range Min,Low Risk TOEFL Range Max,Out of Range RSAT,Fringe RSAT Min,Fringe RSAT Max,High Risk RSAT Range Min,High Risk RSAT Range Max,Medium Risk RSAT Range Min,Medium Risk RSAT Range Max,Low Risk RSAT Range Min,Low Risk RSAT Range Max
California Institute of Technology,109,110,113,114,120,0,0,0,0,1550,1560,1570,1580,1600,0,0,0,0
Johns Hopkins University,109,110,116,117,120,0,0,0,0,1550,1560,1570,1580,1600,0,0,0,0
Williams College,109,110,114,115,120,0,0,0,0,1550,1560,1570,1580,1600,0,0,0,0
Harvard University,109,110,112,113,120,0,0,0,0,1540,1550,1560,1570,1600,0,0,0,0
Yale University,109,110,112,113,120,0,0,0,0,1530,1540,1550,1560,1600,0,0,0,0
Princeton University,109,110,112,113,120,0,0,0,0,1520,1530,1540,1550,1600,0,0,0,0
Amherst College,109,110,114,115,120,0,0,0,0,1490,1500,1510,1520,1600,0,0,0,0
Swarthmore College,109,110,112,113,120,0,0,0,0,1490,1500,1510,1520,1600,0,0,0,0
Harvey Mudd College,108,109,111,112,120,0,0,0,0,1530,1540,1560,1570,1600,0,0,0,0
Stanford University,108,109,111,112,120,0,0,0,0,1520,1530,1540,1550,1600,0,0,0,0
Massachusetts Institute of Technology,108,109,111,112,120,0,0,0,0,1510,1520,1530,1540,1600,0,0,0,0
University of Notre Dame,108,109,110,111,120,0,0,0,0,1500,1510,1520,1530,1560,1580,1600,0,0
Dartmouth College,108,109,111,112,115,116,120,0,0,1500,1510,1520,1530,1600,0,0,0,0
Wellesley College,108,109,110,111,120,0,0,0,0,1480,1490,1500,1510,1550,1560,1600,0,0
Grinnell College,108,109,111,112,120,0,0,0,0,1430,1440,1450,1460,1600,0,0,0,0
Georgetown University,107,108,110,111,120,0,0,0,0,1520,1530,1540,1550,1600,0,0,0,0
Columbia University,107,108,110,111,114,115,120,0,0,1490,1500,1510,1520,1550,1570,1600,0,0
University of Pennsylvania,107,108,110,111,120,0,0,0,0,1490,1500,1510,1520,1600,0,0,0,0
Pomona College,107,108,110,111,120,0,0,0,0,1490,1500,1510,1520,1600,0,0,0,0
Brown University,107,108,110,111,120,0,0,0,0,1490,1500,1510,1520,1600,0,0,0,0
University of Chicago,106,107,109,110,112,113,117,118,120,1480,1500,1490,1510,1540,1550,1580,1590,1600
Northwestern University,106,107,109,110,113,114,120,0,0,1460,1470,1480,1490,1530,1550,1600,0,0
Davidson College,106,107,109,110,120,0,0,0,0,1450,1460,1470,1480,1600,0,0,0,0
Vassar College,106,107,109,110,114,115,120,0,0,1400,1410,1420,1430,1500,1520,1600,0,0
Colgate University,105,106,107,108,110,111,120,0,0,1470,1480,1490,0,0,1500,1600,0,0
Rice University,105,106,108,109,120,0,0,0,0,1460,1470,1480,1490,1600,0,0,0,0
Middlebury College,105,106,108,109,120,0,0,0,0,1460,1470,1480,1490,1600,0,0,0,0
Duke University,105,106,108,109,120,0,0,0,0,1460,1470,1480,1490,1600,0,0,0,0
Washington University in St. Louis,105,106,108,109,113,114,120,0,0,1430,1440,1450,1460,1500,1520,1600,0,0
The University of North Carolina at Chapel Hill,105,106,107,108,110,111,120,0,0,1390,1400,1410,1410,1520,1540,1600,0,0
Tufts University,105,106,108,109,120,0,0,0,0,1380,1390,1400,1410,1600,0,0,0,0
Claremont McKenna College,104,105,107,108,120,0,0,0,0,1510,1520,1530,1540,1600,0,0,0,0
University of Michigan,104,105,107,108,120,0,0,0,0,1460,1470,1480,1490,1600,0,0,0,0
Cornell University,104,105,107,108,120,0,0,0,0,1450,1460,1470,1480,1600,0,0,0,0
"University of California, Berkeley",104,105,107,108,110,111,120,0,0,1420,1430,1440,1450,1520,1540,1600,0,0
"Emory University, Emory College",104,105,107,108,111,112,120,0,0,1420,1430,1440,1450,1540,1550,1600,0,0
Haverford College,104,105,107,108,110,110,120,0,0,1400,1430,1410,1440,1540,0,0,1550,1600
Barnard College,104,105,107,108,112,113,120,0,0,1350,1360,1370,1380,1510,1520,1600,0,0
Bowdoin College,103,104,106,107,120,0,0,0,0,1520,1530,1540,1550,1600,0,0,0,0
University of Virginia,103,104,106,107,107,108,113,114,120,1430,1440,1460,1470,1480,1490,1530,1540,1600
Trinity College,103,104,105,106,108,109,112,113,120,1410,1420,1420,1450,1490,1500,1540,1550,1600
Carleton College,102,103,105,106,109,0,0,110,120,1450,1460,1470,1480,1540,1550,1600,0,0
Babson College,102,103,104,105,106,107,108,109,120,1430,1440,1450,0,0,0,0,1460,1540
Oberlin College,102,103,104,105,106,107,113,114,120,1400,1430,1410,1440,1520,0,0,1530,1600
Scripps College,102,103,105,106,120,0,0,0,0,1380,1390,1400,1410,1520,1530,1600,0,0
Case Western Reserve University,102,103,105,106,111,112,120,0,0,1370,1380,1390,1400,1460,1480,1600,0,0
Bates College,102,103,104,105,106,107,120,0,0,1350,1360,1370,0,0,1380,1600,0,0
Boston College,102,103,104,105,106,107,112,113,120,1340,1370,1350,1380,1410,1420,1510,1520,1600
Vanderbilt University,101,102,104,105,114,115,120,0,0,1450,1460,1470,1480,1540,1540,1570,1580,1600
